PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
80A81D45,kdd10-d49,discovering frequent subgraphs over uncertain graph databases under probabilistic semantics,kdd,kdd10,2010,harbin institute of technology,hong gao|zhaonian zou|jianzhong li,7E78DE51|7EF84BEE|8090AC40,na
8152391E,kdd03-d26,discovery of climate indices using clustering,kdd,kdd03,2003,california state university monterey bay,christopher potter|pangning tan|michael steinbach|steven a klooster|vipin kumar,51941617|77AE0AE9|816EA6AE|7DF8E6BF|7F7BF3B4,clustering|singular value decomposition|scientific data|time series|principal component analysis|eigenvalues
7C541720,kdd09-d102,mining brain region connectivity for alzheimer s disease study via sparse inverse covariance estimation,kdd,kdd09,2009,,jing li|r patel|jun liu|liang sun|eric m reiman|teresa wu|jieping ye|kewei chen,862DD160|81393F76|8551E514|84BB3096|8118A14E|7EFCBF20|818DD4E0|1BDDA8AF,domain knowledge|covariance estimation|neuroimaging|structural change|covariance matrix
754EE207,kdd13-d89,inferring social roles and statuses in social networks,kdd,kdd13,2013,university of illinois at chicago,shaobo liu|guan wang|philip s yu|simon zhang|yuchen zhao,7EAA8442|800606B2|8049AC63|7D646131|84898B47,social status|user modeling|social role|social networks
760C2271,kdd05-d70,mining images on semantics via statistical learning,kdd,kdd05,2005,,hangzai luo|jianping fan|mohandsaid hacid,7DC830C8|7D5B9BF1|79DE6949,image classification|parameter estimation|mixture model|model selection|em algorithm
7E7051EF,kdd13-d177,synthetic review spamming and defense,kdd,kdd13,2013,university of california santa barbara,alex morales|huan sun|xifeng yan,7D945E17|7E29A2A0|857D7027,classification
769EE40A,kdd01-d17,data mining with sparse grids using simplicial basis functions,kdd,kdd01,2001,university of bonn,michael griebel|jochen garcke,0F8C8980|78E4A389,feature space|classification|approximation|data mining|curse of dimensionality|sparse grids
7631516D,kdd13-d57,efficient single source shortest path and distance queries on large graphs,kdd,kdd13,2013,,andy diwen zhu|sibo wang|wenqing lin|xiaokui xiao,8504379D|84BE4126|809E7289|7AC5DF6E,graph|algorithm
77FB0FB8,kdd02-d97,transforming classifier scores into accurate multiclass probability estimates,kdd,kdd02,2002,university of california san diego,charles elkan|bianca zadrozny,2A0FC38B|0341DE85,domain knowledge|support vector machine|naive bayes|feature selection|data mining|direct marketing
7C8BAF1B,kdd15-p2119,early prediction of cardiac arrest code blue using electronic medical records,kdd,kdd15,2015,accenture,elena eneva|sriram somanchi|allen lin|rayid ghani|samrachana adhikari,13FE5953|84B33FC1|84EC2ACA|847F7227|7E31FCC9,data mining|svm|machine learning
773021B0,kdd07-d51,extracting relevant named entities for automated expense reimbursement,kdd,kdd07,2007,ibm,vikas krishna|guangyu zhu|timothy j bethea,83460F0E|7F92B471|7DF48DB2,conditional random field|language model|general|life cycle|algorithms|data mining|human interaction|document layout analysis|question answering|conditional random fields
8164C65F,kdd13-d74,feafiner biomarker identification from medical data through feature generalization and selection,kdd,kdd13,2013,ibm,jieping ye|zhaosong lu|fei wang|lei yuan|jiayu zhou|jimeng sun,7DC9EEBE|7E8C4F01|80045A2F|7D0B19CE|80D4045E|8118A14E,augmented lagrangian|biomarkers|feature selection
80B174BB,kdd98-d32,interactive interpretation of kohonen maps applied to curves,kdd,kdd98,1998,,georges hebrail|anne debregeas,8260E8B1|1501BDF8,kohonen map|electric power|time series
7C96944A,kdd14-d96,open question answering over curated and extracted knowledge bases,kdd,kdd14,2014,university of washington,oren etzioni|anthony fader|luke zettlemoyer,13F401AD|780767CC|03712938,algorithms
751F8F3B,kdd14-d19,budget pacing for targeted online advertisements at linkedin,kdd,kdd14,2014,linkedin,kai wei|siyu you|souvik ghosh|deepak agarwal,8503E861|7FC2F2A2|7F966D2D|7CFDF4D5,generalized second price auction
7EB75471,kdd08-d61,get another label improving data quality and data mining using multiple noisy labelers,kdd,kdd08,2008,new york university stern school of business,panagiotis g ipeirotis|foster provost|victor s sheng,796A56BA|059B148E|77D657D1,management|data mining|data quality|working paper|design|measurement|data preprocessing
7D9ECF09,kdd09-d144,social influence analysis in large scale networks,kdd,kdd09,2009,ibm,jie tang|chi wang|jimeng sun|zi yang,7DC9EEBE|7F5F9B07|80A0A7C8|7D4F1940,affinity propagation|social influence|social networks|social network
7DC22A9A,kdd12-d15,active learning for online bayesian matrix factorization,kdd,kdd12,2012,duke university,lawrence carin|jorge sa silva,272FB205|80B8B0B3,factor analysis|mutual information|collaborative filtering|active learning|statistical model|matrix factorization|bayesian approach
7E11318C,kdd09-d36,clustering event logs using iterative partitioning,kdd,kdd09,2009,dalhousie university,adetokunbo makanju|a nur zincirheywood|evangelos milios,78F23215|4AB5F6F1|8502F50B,network management|algorithms|telecommunications|fault management
7D5F3A8F,kdd12-d94,gigatensor scaling tensor analysis up by 100 times algorithms and discoveries,kdd,kdd12,2012,carnegie mellon university,abhay harpale|evangelos e papalexakis|ungu kang|christos faloutsos,75420279|54909EFF|8311D172|7FFD96A4,distributed algorithm|noun|tensor|big data|anomaly detection|anchor text|social network|data center|noun phrase|data mining|distributed computing|knowledge base
75FCF40B,kdd11-d98,multi source domain adaptation and its application to early detection of fatigue,kdd,kdd11,2011,ibm,sethuraman panchanathan|ian davidson|jieping ye|wei fan|rita chattopadhyay,77C8421F|8118A14E|7D6606C1|7DF1D45A|845DA675,conditional probability|transfer learning
80F6983C,kdd14-d135,time varying learning and content analytics via sparse factor analysis,kdd,kdd14,2014,cornell university,richard g baraniuk|andrew s lan|christoph studer,7DC513FD|80560885|79A6456D,kalman filter|personalized learning|expectation maximization
7A039F40,kdd03-d61,mining phenotypes and informative genes from gene expression data,kdd,kdd03,2003,university at buffalo,jian pei|chun tang|aidong zhang,7EBD3AAB|7D9FEC8C|7EF79E08,heuristic search|phenotype|synthetic data|bioinformatics
7B4798AF,kdd99-d16,compressed data cubes for olap aggregate query approximation on continuous dimensions,kdd,kdd99,1999,microsoft,jayavel shanmugasundaram|paul s bradley|usama fayyad,7D70A551|7D13659E|769AA800,clustering|density estimation|data cube|decision support|olap|data cubes|data mining
7A955FF9,kdd02-d64,mining knowledge sharing sites for viral marketing,kdd,kdd02,2002,university of washington,matthew r richardson|pedro domingos,7FA62EDC|814882B7,viral marketing|linear model|linear models|probabilistic model|social network|social networks|data mining|direct marketing
7606A5E8,kdd11-d77,large scale matrix factorization with distributed stochastic gradient descent,kdd,kdd11,2011,max planck society,rainer gemulla|yannis sismanis|peter j haas|erik nijkamp,0CAEFC7E|7E45249B|1485E0DC|4B845C41,matrix factorization|loss function|stochastic gradient descent|recommender system|recommendation system|stochastic approximation|stochastic optimization
7DCA6997,kdd09-d129,predicting bounce rates in sponsored search advertisements,kdd,kdd09,2009,google,d sculley|sugato basu|roberto j bayardo|robert g malkin,7F38EC19|84AB6513|8155C0BF|7D3BB506,quantitative analysis|machine learning|return on investment|bounce rate|search engine
