PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
7F8231F9,kdd08-d122,using predictive analysis to improve invoice to cash collection,kdd,kdd08,2008,ibm,c m murphy|christian a lang|sai zeng|p l melville|ioana boiermartin,7E087925|6F27734E|8061738A|85521804|80C9442F,accounts receivable|supervised learning|transaction data|predictive modeling|economics|knowledge discovery|prediction model|design
7F794EAF,kdd96-d38,mining associations in text in the presence of background knowledge,kdd,kdd96,1996,,haym hirsh|ronen feldman,8036D8DC|80B6E356,graphical interface|knowledge discovery|query language
056B0B2C,kdd97-d35,proposal and empirical comparison of a parallelizable distance based discretization method,kdd,kdd97,1997,,ramon lopez de mantaras|jesus cerquides,75DA1987|0B4DD0A5,na
7FF053AE,kdd10-d147,temporal recommendation on graphs via long and short term preference fusion,kdd,kdd10,2010,ibm,xiatian zhang|li chen|qing yang|quan yuan|jimeng sun|shiwan zhao|liang xiang,826BB63C|8013865E|821DA4B8|7FD6AF58|8028FF68|7DC9EEBE|7D3629E7,recommender system|random walk|graph
79BD377A,kdd11-d8,activity analysis based on low sample rate smart meters,kdd,kdd11,2011,ibm,changtien lu|feng chen|jing dai|sambit sahu|bingsheng wang|milind r naphade,823242DE|7E5E9EFE|02FC2581|7DC3E58B|7F920E3B|7DEFF67B,gaussian mixture model|hidden markov model|classification
7982DA7C,kdd11-d100,multiple domain user personalization,kdd,kdd11,2011,yahoo,yucheng low|alexander j smola|deepak agarwal,7E28D7FD|758EC809|8153427C,latent dirichlet allocation|statistical inference
805A1791,kdd05-d119,using relational knowledge discovery to prevent securities fraud,kdd,kdd05,2005,university of massachusetts amherst,jennifer neville|john komoroske|henry g goldberg|kelly palmer|ozgur şimsek|david jensen,84D88A5B|7E9A1AE1|7EA267F6|76C3A2B6|850BB83D|7D35C6D8,private sector|knowledge discovery|statistical relational learning
806E918A,kdd15-p1829,mining administrative data to spur urban revitalization,kdd,kdd15,2015,harvard university,alejandra caro|matthew conway|robert manduca|t plagge|abby miller|ben green,84B82C63|855A81CA|7D89D065|30478AE1|84A7BADC|84B53F58,social good
7EB0E184,kdd10-d131,probably the best itemsets,kdd,kdd10,2010,university of antwerp,nikolaj tatti,518266E7,posterior distribution|mcmc|occam s razor|bayesian statistics|statistical model
77C32E6B,kdd15-p2277,building discriminative user profiles for large scale content recommendation,kdd,kdd15,2015,yahoo,yue shi|erheng zhong|suju rajan|nathan liu,84F4B499|7DCDD3E7|84DDE09D|84EA53D4,collaborative filtering
780AD692,kdd15-p675,on the discovery of evolving truth,kdd,kdd15,2015,university at buffalo,wei fan|lu su|qi li|bo zhao|yaliang li|jing gao|jiawei han,7E7A3A69|851D2205|7E06B2F1|80131266|852F9180|7E210959|7DF1D45A,dynamic data
7E85FCEA,kdd06-d102,structure and evolution of online social networks,kdd,kdd06,2006,yahoo,ravi kumar|jasmine novak|andrew tomkins,7EFD969E|7F00BA25|8623725A,stars|social networks|social evolution|social network|giant component
7F75B508,kdd98-d0,a belief driven method for discovering unexpected patterns,kdd,kdd98,1998,,alexander tuzhilin|balaji padmanabhan,6E3B7294|770C1C1E,data mining|domain knowledge|market research|decision maker
7A59AFE2,kdd12-d16,active sampling for entity matching,kdd,kdd12,2012,stanford university,vibhor rastogi|aditya parameswaran|kedar bellare|suresh iyengar,84468581|84F4E9D0|8506684A|7BD71FE9,satisfiability|deduplication|active learning
7AD5D55E,kdd08-d112,text classification business intelligence and interactivity automating c sat analysis for services industry,kdd,kdd08,2008,ibm,shourya roy|shantanu godbole,7FC82F5F|7E24BEB0,business intelligence|services|customer satisfaction|data mining|service industry
